Site,Type,Date,Number,Class,Site.1,Item,Qty,Amount,Balance,station_id,tank_id,date,fuel_type,qty,amount,balance
,Cash Sales,2025-10-14,CASH/INV/2425/02257,Unclassified,Diesel Tank 01,Lanka Auto Diesel,464.028,"108,928.63","3,831,683.83",STATION_01,Diesel Tank 01,2025-10-14,DIESEL_AUTO,464.028,108928.63,3831683.83
,Invoice,2025-10-16,CR/INV/2526/07902,Unclassified,Diesel Tank 01,Lanka Auto Diesel,223.826,"52,542.37","3,884,226.20",STATION_01,Diesel Tank 01,2025-10-16,DIESEL_AUTO,223.826,52542.37,3884226.2
,Invoice,2025-10-16,CR/INV/2526/07903,Unclassified,Diesel Tank 01,Lanka Auto Diesel,54.152,"12,711.86","3,896,938.07",STATION_01,Diesel Tank 01,2025-10-16,DIESEL_AUTO,54.152,12711.86,3896938.07
,Invoice,2025-10-16,CR/INV/2526/07904,Unclassified,Diesel Tank 01,Lanka Auto Diesel,55.0,"12,911.02","3,909,849.08",STATION_01,Diesel Tank 01,2025-10-16,DIESEL_AUTO,55.0,12911.02,3909849.08
,Invoice,2025-10-16,CR/INV/2526/07905,Unclassified,Diesel Tank 01,Lanka Auto Diesel,60.0,"14,084.75","3,923,933.83",STATION_01,Diesel Tank 01,2025-10-16,DIESEL_AUTO,60.0,14084.75,3923933.83
,Invoice,2025-10-16,CR/INV/2526/07906,Unclassified,Diesel Tank 01,Lanka Auto Diesel,80.0,"18,779.66","3,942,713.49",STATION_01,Diesel Tank 01,2025-10-16,DIESEL_AUTO,80.0,18779.66,3942713.49
,Invoice,2025-10-16,CR/INV/2526/07907,Unclassified,Diesel Tank 01,Lanka Auto Diesel,40.0,"9,389.83","3,952,103.32",STATION_01,Diesel Tank 01,2025-10-16,DIESEL_AUTO,40.0,9389.83,3952103.32
,Invoice,2025-10-16,CR/INV/2526/07908,Unclassified,Diesel Tank 01,Lanka Auto Diesel,31.5,"7,394.49","3,959,497.81",STATION_01,Diesel Tank 01,2025-10-16,DIESEL_AUTO,31.5,7394.49,3959497.81
,Invoice,2025-10-16,CR/INV/2526/07909,Unclassified,Diesel Tank 01,Lanka Auto Diesel,26.0,"6,103.39","3,965,601.20",STATION_01,Diesel Tank 01,2025-10-16,DIESEL_AUTO,26.0,6103.39,3965601.2
,Invoice,2025-10-16,CR/INV/2526/07910,Unclassified,Diesel Tank 01,Lanka Auto Diesel,30.0,"7,042.37","3,972,643.58",STATION_01,Diesel Tank 01,2025-10-16,DIESEL_AUTO,30.0,7042.37,3972643.58
,Invoice,2025-10-16,CR/INV/2526/07911,Unclassified,Diesel Tank 01,Lanka Auto Diesel,33.0,"7,746.61","3,980,390.19",STATION_01,Diesel Tank 01,2025-10-16,DIESEL_AUTO,33.0,7746.61,3980390.19
,Cash Sales,2025-10-16,CASH/INV/2425/02278,Unclassified,Diesel Tank 01,Lanka Auto Diesel,354.472,"83,210.96","4,063,601.14",STATION_01,Diesel Tank 01,2025-10-16,DIESEL_AUTO,354.472,83210.96,4063601.14
,Invoice,2025-10-17,CR/INV/2526/07956,Unclassified,Diesel Tank 01,Lanka Auto Diesel,259.855,"61,000.00","4,124,601.14",STATION_01,Diesel Tank 01,2025-10-17,DIESEL_AUTO,259.855,61000.0,4124601.14
,Invoice,2025-10-17,CR/INV/2526/07957,Unclassified,Diesel Tank 01,Lanka Auto Diesel,3.249,762.71,"4,125,363.86",STATION_01,Diesel Tank 01,2025-10-17,DIESEL_AUTO,3.249,762.71,4125363.86
,Invoice,2025-10-17,CR/INV/2526/07958,Unclassified,Diesel Tank 01,Lanka Auto Diesel,63.0,"14,788.98","4,140,152.84",STATION_01,Diesel Tank 01,2025-10-17,DIESEL_AUTO,63.0,14788.98,4140152.84
,Invoice,2025-10-17,CR/INV/2526/07959,Unclassified,Diesel Tank 01,Lanka Auto Diesel,10.0,"2,347.46","4,142,500.30",STATION_01,Diesel Tank 01,2025-10-17,DIESEL_AUTO,10.0,2347.46,4142500.3
,Invoice,2025-10-17,CR/INV/2526/07960,Unclassified,Diesel Tank 01,Lanka Auto Diesel,20.0,"4,694.92","4,147,195.21",STATION_01,Diesel Tank 01,2025-10-17,DIESEL_AUTO,20.0,4694.92,4147195.21
,Invoice,2025-10-17,CR/INV/2526/07961,Unclassified,Diesel Tank 01,Lanka Auto Diesel,47.0,"11,033.05","4,158,228.26",STATION_01,Diesel Tank 01,2025-10-17,DIESEL_AUTO,47.0,11033.05,4158228.26
,Invoice,2025-10-17,CR/INV/2526/07962,Unclassified,Diesel Tank 01,Lanka Auto Diesel,47.0,"11,033.05","4,169,261.31",STATION_01,Diesel Tank 01,2025-10-17,DIESEL_AUTO,47.0,11033.05,4169261.31
,Invoice,2025-10-17,CR/INV/2526/07963,Unclassified,Diesel Tank 01,Lanka Auto Diesel,63.0,"14,788.98","4,184,050.30",STATION_01,Diesel Tank 01,2025-10-17,DIESEL_AUTO,63.0,14788.98,4184050.3
,Invoice,2025-10-17,CR/INV/2526/07964,Unclassified,Diesel Tank 01,Lanka Auto Diesel,72.01,"16,904.04","4,200,954.34",STATION_01,Diesel Tank 01,2025-10-17,DIESEL_AUTO,72.01,16904.04,4200954.34
,Invoice,2025-10-17,CR/INV/2526/07965,Unclassified,Diesel Tank 01,Lanka Auto Diesel,24.0,"5,633.90","4,206,588.24",STATION_01,Diesel Tank 01,2025-10-17,DIESEL_AUTO,24.0,5633.9,4206588.24
,Invoice,2025-10-17,CR/INV/2526/07966,Unclassified,Diesel Tank 01,Lanka Auto Diesel,35.0,"8,216.10","4,214,804.34",STATION_01,Diesel Tank 01,2025-10-17,DIESEL_AUTO,35.0,8216.1,4214804.34
,Cash Sales,2025-10-17,CASH/INV/2425/02295,Unclassified,Diesel Tank 01,Lanka Auto Diesel,694.526,"163,037.19","4,377,841.52",STATION_01,Diesel Tank 01,2025-10-17,DIESEL_AUTO,694.526,163037.19,4377841.52
,Invoice,2025-10-18,CR/INV/2526/07997,Unclassified,Diesel Tank 01,Lanka Auto Diesel,187.364,"43,983.05","4,421,824.58",STATION_01,Diesel Tank 01,2025-10-18,DIESEL_AUTO,187.364,43983.05,4421824.58
,Invoice,2025-10-18,CR/INV/2526/07998,Unclassified,Diesel Tank 01,Lanka Auto Diesel,31.769,"7,457.63","4,429,282.20",STATION_01,Diesel Tank 01,2025-10-18,DIESEL_AUTO,31.769,7457.63,4429282.2
,Invoice,2025-10-18,CR/INV/2526/07999,Unclassified,Diesel Tank 01,Lanka Auto Diesel,175.0,"41,080.51","4,470,362.71",STATION_01,Diesel Tank 01,2025-10-18,DIESEL_AUTO,175.0,41080.51,4470362.71
,Invoice,2025-10-18,CR/INV/2526/08000,Unclassified,Diesel Tank 01,Lanka Auto Diesel,30.0,"7,042.37","4,477,405.08",STATION_01,Diesel Tank 01,2025-10-18,DIESEL_AUTO,30.0,7042.37,4477405.08
,Invoice,2025-10-18,CR/INV/2526/08001,Unclassified,Diesel Tank 01,Lanka Auto Diesel,70.0,"16,432.20","4,493,837.29",STATION_01,Diesel Tank 01,2025-10-18,DIESEL_AUTO,70.0,16432.2,4493837.29
,Invoice,2025-10-18,CR/INV/2526/08002,Unclassified,Diesel Tank 01,Lanka Auto Diesel,30.0,"7,042.37","4,500,879.66",STATION_01,Diesel Tank 01,2025-10-18,DIESEL_AUTO,30.0,7042.37,4500879.66
,Invoice,2025-10-18,CR/INV/2526/08015,Unclassified,Diesel Tank 01,Lanka Auto Diesel,389.693,"91,478.81","4,592,358.47",STATION_01,Diesel Tank 01,2025-10-18,DIESEL_AUTO,389.693,91478.81,4592358.47
,Invoice,2025-10-18,CR/INV/2526/08016,Unclassified,Diesel Tank 01,Lanka Auto Diesel,240.0,"56,338.98","4,648,697.46",STATION_01,Diesel Tank 01,2025-10-18,DIESEL_AUTO,240.0,56338.98,4648697.46
,Invoice,2025-10-18,CR/INV/2526/08017,Unclassified,Diesel Tank 01,Lanka Auto Diesel,15.0,"3,521.19","4,652,218.64",STATION_01,Diesel Tank 01,2025-10-18,DIESEL_AUTO,15.0,3521.19,4652218.64
,Cash Sales,2025-10-18,CASH/INV/2425/02305,Unclassified,Diesel Tank 01,Lanka Auto Diesel,403.907,"94,815.54","4,747,034.18",STATION_01,Diesel Tank 01,2025-10-18,DIESEL_AUTO,403.907,94815.54,4747034.18
,Cash Sales,2025-10-18,CASH/INV/2425/02313,Unclassified,Diesel Tank 01,Lanka Auto Diesel,734.928,"172,521.30","4,919,555.48",STATION_01,Diesel Tank 01,2025-10-18,DIESEL_AUTO,734.928,172521.3,4919555.48
,Cash Sales,2025-10-20,CASH/INV/2425/02346,Unclassified,Diesel Tank 01,Lanka Auto Diesel,24.19,"5,678.51","4,925,233.99",STATION_01,Diesel Tank 01,2025-10-20,DIESEL_AUTO,24.19,5678.51,4925233.99
,Invoice,2025-10-23,CR/INV/2526/08185,Unclassified,Diesel Tank 01,Lanka Auto Diesel,226.354,"53,135.59","4,978,369.58",STATION_01,Diesel Tank 01,2025-10-23,DIESEL_AUTO,226.354,53135.59,4978369.58
,Invoice,2025-10-23,CR/INV/2526/08186,Unclassified,Diesel Tank 01,Lanka Auto Diesel,43.321,"10,169.49","4,988,539.07",STATION_01,Diesel Tank 01,2025-10-23,DIESEL_AUTO,43.321,10169.49,4988539.07
,Invoice,2025-10-23,CR/INV/2526/08187,Unclassified,Diesel Tank 01,Lanka Auto Diesel,175.0,"41,080.51","5,029,619.58",STATION_01,Diesel Tank 01,2025-10-23,DIESEL_AUTO,175.0,41080.51,5029619.58
,Invoice,2025-10-23,CR/INV/2526/08188,Unclassified,Diesel Tank 01,Lanka Auto Diesel,57.0,"13,380.51","5,043,000.09",STATION_01,Diesel Tank 01,2025-10-23,DIESEL_AUTO,57.0,13380.51,5043000.09
,Invoice,2025-10-23,CR/INV/2526/08189,Unclassified,Diesel Tank 01,Lanka Auto Diesel,50.0,"11,737.29","5,054,737.38",STATION_01,Diesel Tank 01,2025-10-23,DIESEL_AUTO,50.0,11737.29,5054737.38
,Invoice,2025-10-23,CR/INV/2526/08190,Unclassified,Diesel Tank 01,Lanka Auto Diesel,35.0,"8,216.10","5,062,953.48",STATION_01,Diesel Tank 01,2025-10-23,DIESEL_AUTO,35.0,8216.1,5062953.48
,Invoice,2025-10-23,CR/INV/2526/08191,Unclassified,Diesel Tank 01,Lanka Auto Diesel,13.0,"3,051.70","5,066,005.18",STATION_01,Diesel Tank 01,2025-10-23,DIESEL_AUTO,13.0,3051.7,5066005.18
,Invoice,2025-10-23,CR/INV/2526/08192,Unclassified,Diesel Tank 01,Lanka Auto Diesel,40.0,"9,389.83","5,075,395.01",STATION_01,Diesel Tank 01,2025-10-23,DIESEL_AUTO,40.0,9389.83,5075395.01
,Invoice,2025-10-23,CR/INV/2526/08193,Unclassified,Diesel Tank 01,Lanka Auto Diesel,130.0,"30,516.95","5,105,911.96",STATION_01,Diesel Tank 01,2025-10-23,DIESEL_AUTO,130.0,30516.95,5105911.96
,Invoice,2025-10-23,CR/INV/2526/08194,Unclassified,Diesel Tank 01,Lanka Auto Diesel,18.0,"4,225.42","5,110,137.38",STATION_01,Diesel Tank 01,2025-10-23,DIESEL_AUTO,18.0,4225.42,5110137.38
,Invoice,2025-10-23,CR/INV/2526/08195,Unclassified,Diesel Tank 01,Lanka Auto Diesel,54.0,"12,676.27","5,122,813.65",STATION_01,Diesel Tank 01,2025-10-23,DIESEL_AUTO,54.0,12676.27,5122813.65
,Cash Sales,2025-10-23,CASH/INV/2425/02391,Unclassified,Diesel Tank 01,Lanka Auto Diesel,923.636,"216,819.80","5,339,633.45",STATION_01,Diesel Tank 01,2025-10-23,DIESEL_AUTO,923.636,216819.8,5339633.45
,Invoice,2025-10-24,CR/INV/2526/08246,Unclassified,Diesel Tank 01,Lanka Auto Diesel,31.0,"7,277.12","5,346,910.57",STATION_01,Diesel Tank 01,2025-10-24,DIESEL_AUTO,31.0,7277.12,5346910.57
,Invoice,2025-10-24,CR/INV/2526/08247,Unclassified,Diesel Tank 01,Lanka Auto Diesel,30.0,"7,042.37","5,353,952.94",STATION_01,Diesel Tank 01,2025-10-24,DIESEL_AUTO,30.0,7042.37,5353952.94
,Invoice,2025-10-24,CR/INV/2526/08248,Unclassified,Diesel Tank 01,Lanka Auto Diesel,25.0,"5,868.64","5,359,821.58",STATION_01,Diesel Tank 01,2025-10-24,DIESEL_AUTO,25.0,5868.64,5359821.58
,Invoice,2025-10-24,CR/INV/2526/08249,Unclassified,Diesel Tank 01,Lanka Auto Diesel,36.0,"8,450.85","5,368,272.43",STATION_01,Diesel Tank 01,2025-10-24,DIESEL_AUTO,36.0,8450.85,5368272.43
,Invoice,2025-10-24,CR/INV/2526/08250,Unclassified,Diesel Tank 01,Lanka Auto Diesel,36.0,"8,450.85","5,376,723.28",STATION_01,Diesel Tank 01,2025-10-24,DIESEL_AUTO,36.0,8450.85,5376723.28
,Invoice,2025-10-24,CR/INV/2526/08251,Unclassified,Diesel Tank 01,Lanka Auto Diesel,59.0,"13,850.00","5,390,573.28",STATION_01,Diesel Tank 01,2025-10-24,DIESEL_AUTO,59.0,13850.0,5390573.28
,Invoice,2025-10-24,CR/INV/2526/08252,Unclassified,Diesel Tank 01,Lanka Auto Diesel,31.0,"7,277.12","5,397,850.40",STATION_01,Diesel Tank 01,2025-10-24,DIESEL_AUTO,31.0,7277.12,5397850.4
,Invoice,2025-10-24,CR/INV/2526/08253,Unclassified,Diesel Tank 01,Lanka Auto Diesel,27.0,"6,338.14","5,404,188.53",STATION_01,Diesel Tank 01,2025-10-24,DIESEL_AUTO,27.0,6338.14,5404188.53
,Invoice,2025-10-24,CR/INV/2526/08254,Unclassified,Diesel Tank 01,Lanka Auto Diesel,27.0,"6,338.14","5,410,526.67",STATION_01,Diesel Tank 01,2025-10-24,DIESEL_AUTO,27.0,6338.14,5410526.67
,Invoice,2025-10-24,CR/INV/2526/08255,Unclassified,Diesel Tank 01,Lanka Auto Diesel,80.0,"18,779.66","5,429,306.33",STATION_01,Diesel Tank 01,2025-10-24,DIESEL_AUTO,80.0,18779.66,5429306.33
,Invoice,2025-10-24,CR/INV/2526/08256,Unclassified,Diesel Tank 01,Lanka Auto Diesel,175.0,"41,080.51","5,470,386.84",STATION_01,Diesel Tank 01,2025-10-24,DIESEL_AUTO,175.0,41080.51,5470386.84
,Cash Sales,2025-10-24,CASH/INV/2425/02405,Unclassified,Diesel Tank 01,Lanka Auto Diesel,1587.851,"372,741.57","5,843,128.41",STATION_01,Diesel Tank 01,2025-10-24,DIESEL_AUTO,1587.851,372741.57,5843128.41
,Invoice,2025-10-25,CR/INV/2526/08279,Unclassified,Diesel Tank 01,Lanka Auto Diesel,123.646,"29,025.42","5,872,153.83",STATION_01,Diesel Tank 01,2025-10-25,DIESEL_AUTO,123.646,29025.42,5872153.83
,Invoice,2025-10-25,CR/INV/2526/08280,Unclassified,Diesel Tank 01,Lanka Auto Diesel,42.0,"9,859.32","5,882,013.15",STATION_01,Diesel Tank 01,2025-10-25,DIESEL_AUTO,42.0,9859.32,5882013.15
,Invoice,2025-10-25,CR/INV/2526/08281,Unclassified,Diesel Tank 01,Lanka Auto Diesel,63.0,"14,788.98","5,896,802.13",STATION_01,Diesel Tank 01,2025-10-25,DIESEL_AUTO,63.0,14788.98,5896802.13
,Invoice,2025-10-25,CR/INV/2526/08282,Unclassified,Diesel Tank 01,Lanka Auto Diesel,67.0,"15,727.97","5,912,530.10",STATION_01,Diesel Tank 01,2025-10-25,DIESEL_AUTO,67.0,15727.97,5912530.1
,Invoice,2025-10-25,CR/INV/2526/08283,Unclassified,Diesel Tank 01,Lanka Auto Diesel,19.01,"4,462.52","5,916,992.62",STATION_01,Diesel Tank 01,2025-10-25,DIESEL_AUTO,19.01,4462.52,5916992.62
,Cash Sales,2025-10-25,CASH/INV/2425/02415,Unclassified,Diesel Tank 01,Lanka Auto Diesel,240.724,"56,509.03","5,973,501.64",STATION_01,Diesel Tank 01,2025-10-25,DIESEL_AUTO,240.724,56509.03,5973501.64
,Invoice,2025-10-26,CR/INV/2526/08301,Unclassified,Diesel Tank 01,Lanka Auto Diesel,392.108,"92,045.76","6,065,547.41",STATION_01,Diesel Tank 01,2025-10-26,DIESEL_AUTO,392.108,92045.76,6065547.41
,Invoice,2025-10-26,CR/INV/2526/08302,Unclassified,Diesel Tank 01,Lanka Auto Diesel,11.552,"2,711.86","6,068,259.27",STATION_01,Diesel Tank 01,2025-10-26,DIESEL_AUTO,11.552,2711.86,6068259.27
,Cash Sales,2025-10-26,CASH/INV/2425/02429,Unclassified,Diesel Tank 01,Lanka Auto Diesel,3.88,910.75,"6,069,170.02",STATION_01,Diesel Tank 01,2025-10-26,DIESEL_AUTO,3.88,910.75,6069170.02
,Invoice,2025-10-27,CR/INV/2526/08322,Unclassified,Diesel Tank 01,Lanka Auto Diesel,376.751,"88,440.68","6,157,610.70",STATION_01,Diesel Tank 01,2025-10-27,DIESEL_AUTO,376.751,88440.68,6157610.7
,Invoice,2025-10-27,CR/INV/2526/08323,Unclassified,Diesel Tank 01,Lanka Auto Diesel,40.0,"9,389.83","6,167,000.53",STATION_01,Diesel Tank 01,2025-10-27,DIESEL_AUTO,40.0,9389.83,6167000.53
,Invoice,2025-10-27,CR/INV/2526/08324,Unclassified,Diesel Tank 01,Lanka Auto Diesel,15.0,"3,521.19","6,170,521.72",STATION_01,Diesel Tank 01,2025-10-27,DIESEL_AUTO,15.0,3521.19,6170521.72
,Invoice,2025-10-27,CR/INV/2526/08325,Unclassified,Diesel Tank 01,Lanka Auto Diesel,35.0,"8,216.10","6,178,737.82",STATION_01,Diesel Tank 01,2025-10-27,DIESEL_AUTO,35.0,8216.1,6178737.82
,Invoice,2025-10-27,CR/INV/2526/08326,Unclassified,Diesel Tank 01,Lanka Auto Diesel,50.0,"11,737.29","6,190,475.11",STATION_01,Diesel Tank 01,2025-10-27,DIESEL_AUTO,50.0,11737.29,6190475.11
,Invoice,2025-10-27,CR/INV/2526/08327,Unclassified,Diesel Tank 01,Lanka Auto Diesel,37.0,"8,685.59","6,199,160.70",STATION_01,Diesel Tank 01,2025-10-27,DIESEL_AUTO,37.0,8685.59,6199160.7
,Invoice,2025-10-27,CR/INV/2526/08328,Unclassified,Diesel Tank 01,Lanka Auto Diesel,42.01,"9,861.67","6,209,022.37",STATION_01,Diesel Tank 01,2025-10-27,DIESEL_AUTO,42.01,9861.67,6209022.37
,Invoice,2025-10-27,CR/INV/2526/08329,Unclassified,Diesel Tank 01,Lanka Auto Diesel,36.0,"8,450.85","6,217,473.22",STATION_01,Diesel Tank 01,2025-10-27,DIESEL_AUTO,36.0,8450.85,6217473.22
,Cash Sales,2025-10-27,CASH/INV/2425/02443,Unclassified,Diesel Tank 01,Lanka Auto Diesel,202.94,"47,639.29","6,265,112.51",STATION_01,Diesel Tank 01,2025-10-27,DIESEL_AUTO,202.94,47639.29,6265112.51
,Invoice,2025-10-28,CR/INV/2526/08366,Unclassified,Diesel Tank 01,Lanka Auto Diesel,293.574,"68,915.25","6,334,027.76",STATION_01,Diesel Tank 01,2025-10-28,DIESEL_AUTO,293.574,68915.25,6334027.76
,Invoice,2025-10-28,CR/INV/2526/08367,Unclassified,Diesel Tank 01,Lanka Auto Diesel,3.61,847.46,"6,334,875.22",STATION_01,Diesel Tank 01,2025-10-28,DIESEL_AUTO,3.61,847.46,6334875.22
,Invoice,2025-10-28,CR/INV/2526/08368,Unclassified,Diesel Tank 01,Lanka Auto Diesel,56.0,"13,145.76","6,348,020.98",STATION_01,Diesel Tank 01,2025-10-28,DIESEL_AUTO,56.0,13145.76,6348020.98
,Invoice,2025-10-28,CR/INV/2526/08369,Unclassified,Diesel Tank 01,Lanka Auto Diesel,27.0,"6,338.14","6,354,359.12",STATION_01,Diesel Tank 01,2025-10-28,DIESEL_AUTO,27.0,6338.14,6354359.12
,Invoice,2025-10-28,CR/INV/2526/08370,Unclassified,Diesel Tank 01,Lanka Auto Diesel,20.0,"4,694.92","6,359,054.03",STATION_01,Diesel Tank 01,2025-10-28,DIESEL_AUTO,20.0,4694.92,6359054.03
,Invoice,2025-10-28,CR/INV/2526/08371,Unclassified,Diesel Tank 01,Lanka Auto Diesel,37.0,"8,685.59","6,367,739.62",STATION_01,Diesel Tank 01,2025-10-28,DIESEL_AUTO,37.0,8685.59,6367739.62
,Invoice,2025-10-28,CR/INV/2526/08372,Unclassified,Diesel Tank 01,Lanka Auto Diesel,36.0,"8,450.85","6,376,190.47",STATION_01,Diesel Tank 01,2025-10-28,DIESEL_AUTO,36.0,8450.85,6376190.47
,Invoice,2025-10-28,CR/INV/2526/08373,Unclassified,Diesel Tank 01,Lanka Auto Diesel,20.0,"4,694.92","6,380,885.39",STATION_01,Diesel Tank 01,2025-10-28,DIESEL_AUTO,20.0,4694.92,6380885.39
,Invoice,2025-10-28,CR/INV/2526/08374,Unclassified,Diesel Tank 01,Lanka Auto Diesel,15.0,"3,521.19","6,384,406.57",STATION_01,Diesel Tank 01,2025-10-28,DIESEL_AUTO,15.0,3521.19,6384406.57
,Invoice,2025-10-28,CR/INV/2526/08375,Unclassified,Diesel Tank 01,Lanka Auto Diesel,30.0,"7,042.37","6,391,448.95",STATION_01,Diesel Tank 01,2025-10-28,DIESEL_AUTO,30.0,7042.37,6391448.95
,Invoice,2025-10-28,CR/INV/2526/08376,Unclassified,Diesel Tank 01,Lanka Auto Diesel,81.0,"19,014.41","6,410,463.35",STATION_01,Diesel Tank 01,2025-10-28,DIESEL_AUTO,81.0,19014.41,6410463.35
,Invoice,2025-10-28,CR/INV/2526/08377,Unclassified,Diesel Tank 01,Lanka Auto Diesel,30.0,"7,042.37","6,417,505.73",STATION_01,Diesel Tank 01,2025-10-28,DIESEL_AUTO,30.0,7042.37,6417505.73
,Cash Sales,2025-10-28,CASH/INV/2425/02460,Unclassified,Diesel Tank 01,Lanka Auto Diesel,275.717,"64,723.36","6,482,229.08",STATION_01,Diesel Tank 01,2025-10-28,DIESEL_AUTO,275.717,64723.36,6482229.08
,Invoice,2025-10-29,CR/INV/2526/08415,Unclassified,Diesel Tank 01,Lanka Auto Diesel,384.815,"90,333.90","6,572,562.98",STATION_01,Diesel Tank 01,2025-10-29,DIESEL_AUTO,384.815,90333.9,6572562.98
,Invoice,2025-10-29,CR/INV/2526/08416,Unclassified,Diesel Tank 01,Lanka Auto Diesel,30.0,"7,042.37","6,579,605.35",STATION_01,Diesel Tank 01,2025-10-29,DIESEL_AUTO,30.0,7042.37,6579605.35
,Invoice,2025-10-29,CR/INV/2526/08417,Unclassified,Diesel Tank 01,Lanka Auto Diesel,30.0,"7,042.37","6,586,647.73",STATION_01,Diesel Tank 01,2025-10-29,DIESEL_AUTO,30.0,7042.37,6586647.73
,Invoice,2025-10-29,CR/INV/2526/08418,Unclassified,Diesel Tank 01,Lanka Auto Diesel,25.0,"5,868.64","6,592,516.37",STATION_01,Diesel Tank 01,2025-10-29,DIESEL_AUTO,25.0,5868.64,6592516.37
,Invoice,2025-10-29,CR/INV/2526/08419,Unclassified,Diesel Tank 01,Lanka Auto Diesel,19.86,"4,662.05","6,597,178.42",STATION_01,Diesel Tank 01,2025-10-29,DIESEL_AUTO,19.86,4662.05,6597178.42
,Invoice,2025-10-29,CR/INV/2526/08420,Unclassified,Diesel Tank 01,Lanka Auto Diesel,30.01,"7,044.72","6,604,223.14",STATION_01,Diesel Tank 01,2025-10-29,DIESEL_AUTO,30.01,7044.72,6604223.14
,Invoice,2025-10-29,CR/INV/2526/08421,Unclassified,Diesel Tank 01,Lanka Auto Diesel,40.0,"9,389.83","6,613,612.97",STATION_01,Diesel Tank 01,2025-10-29,DIESEL_AUTO,40.0,9389.83,6613612.97
,Invoice,2025-10-29,CR/INV/2526/08427,Unclassified,Diesel Tank 01,Lanka Auto Diesel,385.559,"90,508.48","6,704,121.45",STATION_01,Diesel Tank 01,2025-10-29,DIESEL_AUTO,385.559,90508.48,6704121.45
,Invoice,2025-10-29,CR/INV/2526/08428,Unclassified,Diesel Tank 01,Lanka Auto Diesel,51.986,"12,203.39","6,716,324.84",STATION_01,Diesel Tank 01,2025-10-29,DIESEL_AUTO,51.986,12203.39,6716324.84
,Invoice,2025-10-29,CR/INV/2526/08429,Unclassified,Diesel Tank 01,Lanka Auto Diesel,43.0,"10,094.07","6,726,418.90",STATION_01,Diesel Tank 01,2025-10-29,DIESEL_AUTO,43.0,10094.07,6726418.9
,Invoice,2025-10-29,CR/INV/2526/08430,Unclassified,Diesel Tank 01,Lanka Auto Diesel,15.0,"3,521.19","6,729,940.09",STATION_01,Diesel Tank 01,2025-10-29,DIESEL_AUTO,15.0,3521.19,6729940.09
,Invoice,2025-10-29,CR/INV/2526/08431,Unclassified,Diesel Tank 01,Lanka Auto Diesel,48.0,"11,267.80","6,741,207.89",STATION_01,Diesel Tank 01,2025-10-29,DIESEL_AUTO,48.0,11267.8,6741207.89
,Invoice,2025-10-29,CR/INV/2526/08432,Unclassified,Diesel Tank 01,Lanka Auto Diesel,20.0,"4,694.92","6,745,902.80",STATION_01,Diesel Tank 01,2025-10-29,DIESEL_AUTO,20.0,4694.92,6745902.8
